Municipality,Municipality_CTV,MuniTownype,MuniCode,CntyCode
Franklin,"Franklin, Town",Town,6206,62
Franzen,"Franzen, Town",Town,3714,37
Frederic,"Frederic, Village",Village,4856,48
Fredonia,"Fredonia, Town",Town,4503,45
Fredonia,"Fredonia, Village",Village,4552,45
Freedom,"Freedom, Town",Town,2107,21
Freedom,"Freedom, Town",Town,4409,44
Freedom,"Freedom, Town",Town,5608,56
Freeman,"Freeman, Town",Town,1204,12
Fremont,"Fremont, Town",Town,1007,10
Fremont,"Fremont, Town",Town,6806,68
Fremont,"Fremont, Village",Village,6853,68
Friendship,"Friendship, Town",Town,2011,20
Friendship,"Friendship, Village",Village,151,1
Friesland,"Friesland, Village",Village,1164,11
Frog Creek,"Frog Creek, Town",Town,6511,65
Fulton,"Fulton, Town",Town,5306,53
Gale,"Gale, Town",Town,6108,61
Galesville,"Galesville, City",City,6153,61
Garden Valley,"Garden Valley, Town",Town,2709,27
Gardner,"Gardner, Town",Town,1506,15
Garfield,"Garfield, Town",Town,2710,27
Garfield,"Garfield, Town",Town,4812,48
Gays Mills,"Gays Mills, Village",Village,1255,12
Genesee,"Genesee, Town",Town,6704,67
Geneva,"Geneva, Town",Town,6405,64
Genoa City,"Genoa City, Village",Village,3055,30
Genoa City,"Genoa City, Village",Village,6453,64
Genoa,"Genoa, Town",Town,6207,62
Genoa,"Genoa, Village",Village,6262,62
Georgetown,"Georgetown, Town",Town,4813,48
Georgetown,"Georgetown, Town",Town,5007,50
Germania,"Germania, Town",Town,5808,58
Germantown,"Germantown, Town",Town,2906,29
Germantown,"Germantown, Town",Town,6605,66
Germantown,"Germantown, Village",Village,6652,66
Gibraltar,"Gibraltar, Town",Town,1507,15
Gibson,"Gibson, Town",Town,3606,36
Gillett,"Gillett, City",City,4251,42
Gillett,"Gillett, Town",Town,4208,42
Gilman,"Gilman, Town",Town,4705,47
Gilman,"Gilman, Village",Village,6051,60
Gilmanton,"Gilmanton, Town",Town,607,6
Gingles,"Gingles, Town",Town,204,2
Glen Flora,"Glen Flora, Village",Village,5453,54
Glen Haven,"Glen Haven, Town",Town,2209,22
Glenbeulah,"Glenbeulah, Village",Village,5955,59
Glencoe,"Glencoe, Town",Town,608,6
Glendale,"Glendale, City",City,4062,40
Glendale,"Glendale, Town",Town,4105,41
Glenmore,"Glenmore, Town",Town,506,5
Glenwood City,"Glenwood City, City",City,5559,55
Glenwood,"Glenwood, Town",Town,5508,55
Goetz,"Goetz, Town",Town,913,9
Goodman,"Goodman, Town",Town,3806,38
Goodrich,"Goodrich, Town",Town,6007,60
Gordon,"Gordon, Town",Town,205,2
Gordon,"Gordon, Town",Town,1606,16
Grafton,"Grafton, Town",Town,4504,45
Grafton,"Grafton, Village",Village,4553,45
Grand Chute,"Grand Chute, Town",Town,4410,44
Grand Rapids,"Grand Rapids, Town",Town,7107,71
Grand View,"Grand View, Town",Town,422,4
Grant,"Grant, Town",Town,1008,10
Grant,"Grant, Town",Town,1705,17
Grant,"Grant, Town",Town,4106,41
Grant,"Grant, Town",Town,4918,49
Grant,"Grant, Town",Town,5407,54
Grant,"Grant, Town",Town,5809,58
Granton,"Granton, Village",Village,1054,10
Grantsburg,"Grantsburg, Town",Town,705,7
Grantsburg,"Grantsburg, Village",Village,751,7
Gratiot,"Gratiot, Town",Town,3308,33
Gratiot,"Gratiot, Village",Village,3355,33
Green Bay,"Green Bay, City",City,556,5
Green Bay,"Green Bay, Town",Town,507,5
Green Grove,"Green Grove, Town",Town,1009,10
Green Lake,"Green Lake, City",City,2451,24
Green Lake,"Green Lake, Town",Town,2403,24
Green Valley,"Green Valley, Town",Town,3715,37
Green Valley,"Green Valley, Town",Town,5810,58
Greenbush,"Greenbush, Town",Town,5901,59
Greendale,"Greendale, Village",Village,4061,40
Greenfield,"Greenfield, City",City,4069,40
Greenfield,"Greenfield, Town",Town,3206,32
Greenfield,"Greenfield, Town",Town,4107,41
Greenfield,"Greenfield, Town",Town,5609,56
Greenville,"Greenville, Town",Town,4411,44
Greenwood,"Greenwood, City",City,1060,10
Greenwood,"Greenwood, Town",Town,6008,60
Greenwood,"Greenwood, Town",Town,6208,62
Gresham,"Gresham, Village",Village,5857,58
Grover,"Grover, Town",Town,3807,38
Grover,"Grover, Town",Town,6009,60
Grow,"Grow, Town",Town,5408,54
Guenther,"Guenther, Town",Town,3716,37
Gull Lake,"Gull Lake, Town",Town,6512,65
Gurney,"Gurney, Town",Town,2603,26
Hackett,"Hackett, Town",Town,5008,50
Hale,"Hale, Town",Town,6109,61
Hales Corners,"Hales Corners, Village",Village,4064,40
Hallie,"Hallie, Town",Town,914,9
Halsey,"Halsey, Town",Town,3717,37
Hamburg,"Hamburg, Town",Town,3718,37
Hamburg,"Hamburg, Town",Town,6209,62
Hamilton,"Hamilton, Town",Town,3207,32
Hammel,"Hammel, Town",Town,6010,60
Hammond,"Hammond, Town",Town,5509,55
Hammond,"Hammond, Village",Village,5553,55
Hampden,"Hampden, Town",Town,1108,11
Hancock,"Hancock, Town",Town,6906,69
Hancock,"Hancock, Village",Village,6951,69
Haney,"Haney, Town",Town,1205,12
Hansen,"Hansen, Town",Town,7108,71
Harding,"Harding, Town",Town,3504,35
Harmony,"Harmony, Town",Town,5009,50
Harmony,"Harmony, Town",Town,5307,53
Harmony,"Harmony, Town",Town,6210,62
Harris,"Harris, Town",Town,3904,39
Harrison,"Harrison, Town",Town,805,8
Harrison,"Harrison, Town",Town,2210,22
Harrison,"Harrison, Town",Town,3505,35
Harrison,"Harrison, Town",Town,3719,37
Harrison,"Harrison, Town",Town,6807,68
Harrison,"Harrison, Village",Village,862,8
Harrison,"Harrison, Village",Village,4465,44
Hartford,"Hartford, City",City,1450,14
Hartford,"Hartford, City",City,6656,66
Hartford,"Hartford, Town",Town,6606,66
Hartland,"Hartland, Town",Town,4706,47
Hartland,"Hartland, Town",Town,5811,58
Hartland,"Hartland, Village",Village,6756,67
Hatley,"Hatley, Village",Village,3757,37
Haugen,"Haugen, Village",Village,353,3
Hawkins,"Hawkins, Town",Town,5409,54
Hawkins,"Hawkins, Village",Village,5454,54
Hawthorne,"Hawthorne, Town",Town,1607,16
Hay River,"Hay River, Town",Town,1706,17
Hayward,"Hayward, City",City,5753,57
Hayward,"Hayward, Town",Town,5706,57
Hazel Green,"Hazel Green, Town",Town,2211,22
Hazel Green,"Hazel Green, Village",Village,2255,22
Hazel Green,"Hazel Green, Village",Village,3360,33
Hazelhurst,"Hazelhurst, Town",Town,4304,43
Hebron,"Hebron, Town",Town,2805,28
Helvetia,"Helvetia, Town",Town,6808,68
Hendren,"Hendren, Town",Town,1010,10
Henrietta,"Henrietta, Town",Town,5207,52
Herman,"Herman, Town",Town,1410,14
Herman,"Herman, Town",Town,5812,58
Herman,"Herman, Town",Town,5902,59
Hewett,"Hewett, Town",Town,1011,10
Hewitt,"Hewitt, Town",Town,3720,37
Hewitt,"Hewitt, Village",Village,7161,71
Hickory Grove,"Hickory Grove, Town",Town,2212,22
Highland,"Highland, Town",Town,1608,16
Highland,"Highland, Town",Town,2506,25
Highland,"Highland, Village",Village,2555,25
Hilbert,"Hilbert, Village",Village,852,8
Hiles,"Hiles, Town",Town,2108,21
Hiles,"Hiles, Town",Town,7109,71
Hill,"Hill, Town",Town,5010,50
Hillsboro,"Hillsboro, City",City,6254,62
Hillsboro,"Hillsboro, Town",Town,6211,62
Hixon,"Hixon, Town",Town,1012,10
Hixton,"Hixton, Town",Town,2711,27
Hixton,"Hixton, Village",Village,2752,27
Hoard,"Hoard, Town",Town,1013,10
Hobart,"Hobart, Town",Town,508,5
Hobart,"Hobart, Village",Village,559,5
Holland,"Holland, Town",Town,509,5
Holland,"Holland, Town",Town,3208,32
Holland,"Holland, Town",Town,5903,59
Hollandale,"Hollandale, Village",Village,2556,25
Holmen,"Holmen, Village",Village,3256,32
Holton,"Holton, Town",Town,3721,37
Holway,"Holway, Town",Town,6011,60
Homestead,"Homestead, Town",Town,1906,19
Honey Creek,"Honey Creek, Town",Town,5610,56
Horicon,"Horicon, City",City,1462,14
Hortonia,"Hortonia, Town",Town,4412,44
Hortonville,"Hortonville, Village",Village,4454,44
How,"How, Town",Town,4209,42
Howard,"Howard, Town",Town,916,9
Howard,"Howard, Village",Village,557,5
Howard,"Howard, Village",Village,4463,44
Howards Grove,"Howards Grove, Village",Village,5963,59
Hubbard,"Hubbard, Town",Town,1411,14
Hubbard,"Hubbard, Town",Town,5410,54
Hudson,"Hudson, City",City,5560,55
Hudson,"Hudson, Town",Town,5510,55
Hughes,"Hughes, Town",Town,411,4
Hull,"Hull, Town",Town,3722,37
Hull,"Hull, Town",Town,4910,49
Humboldt,"Humboldt, Town",Town,511,5
Hunter,"Hunter, Town",Town,5707,57
Hurley,"Hurley, City",City,2651,26
Hustisford,"Hustisford, Town",Town,1412,14
Hustisford,"Hustisford, Village",Village,1453,14
Hustler,"Hustler, Village",Village,2952,29
Hutchins,"Hutchins, Town",Town,5813,58
Independence,"Independence, City",City,6154,61
Ingram,"Ingram, Village",Village,5455,54
Iola,"Iola, Town",Town,6809,68
Iola,"Iola, Village",Village,6854,68
Iron Ridge,"Iron Ridge, Village",Village,1454,14
Iron River,"Iron River, Town",Town,412,4
Ironton,"Ironton, Town",Town,5611,56
Ironton,"Ironton, Village",Village,5652,56
Irving,"Irving, Town",Town,2712,27
Isabelle,"Isabelle, Town",Town,4707,47
Ithaca,"Ithaca, Town",Town,5208,52
Ixonia,"Ixonia, Town",Town,2806,28
Jackson,"Jackson, Town",Town,106,1
Jackson,"Jackson, Town",Town,706,7
Jackson,"Jackson, Town",Town,6607,66
Jackson,"Jackson, Village",Village,6653,66
Jacksonport,"Jacksonport, Town",Town,1508,15
Jacobs,"Jacobs, Town",Town,206,2
Jamestown,"Jamestown, Town",Town,2213,22
Janesville,"Janesville, City",City,5358,53
Janesville,"Janesville, Town",Town,5308,53
Jefferson,"Jefferson, City",City,2856,28
Jefferson,"Jefferson, Town",Town,2308,23
Jefferson,"Jefferson, Town",Town,2807,28
Jefferson,"Jefferson, Town",Town,4108,41
Jefferson,"Jefferson, Town",Town,6212,62
Johnson Creek,"Johnson Creek, Village",Village,2851,28
Johnson,"Johnson, Town",Town,3723,37
Johnstown,"Johnstown, Town",Town,4814,48
Johnstown,"Johnstown, Town",Town,5309,53
Jordan,"Jordan, Town",Town,2309,23
Jump River,"Jump River, Town",Town,6012,60
Junction City,"Junction City, Village",Village,4954,49
Juneau,"Juneau, City",City,1463,14
Kaukauna,"Kaukauna, City",City,861,8
Kaukauna,"Kaukauna, City",City,4459,44
Kaukauna,"Kaukauna, Town",Town,4413,44
Kekoskee,"Kekoskee, Village",Village,1468,14
Kellnersville,"Kellnersville, Village",Village,3662,36
Kelly,"Kelly, Town",Town,413,4
Kendall,"Kendall, Town",Town,3309,33
Kendall,"Kendall, Village",Village,4152,41
Kennan,"Kennan, Town",Town,5011,50
Kennan,"Kennan, Village",Village,5052,50
Kenosha,"Kenosha, City",City,3052,30
Kewaskum,"Kewaskum, Town",Town,6608,66
Kewaskum,"Kewaskum, Village",Village,2063,20
Kewaskum,"Kewaskum, Village",Village,6654,66
Kewaunee,"Kewaunee, City",City,3154,31
Keystone,"Keystone, Town",Town,414,4
Kickapoo,"Kickapoo, Town",Town,6213,62
Kiel,"Kiel, City",City,855,8
Kiel,"Kiel, City",City,3653,36
Kildare,"Kildare, Town",Town,2907,29
Kimball,"Kimball, Town",Town,2604,26
Kimberly,"Kimberly, Village",Village,4455,44
King,"King, Town",Town,3506,35
Kingston,"Kingston, Town",Town,2404,24
Kingston,"Kingston, Town",Town,2908,29
Kingston,"Kingston, Village",Village,2452,24
Kinnickinnic,"Kinnickinnic, Town",Town,5511,55
Knapp,"Knapp, Town",Town,2713,27
Knapp,"Knapp, Village",Village,1755,17
Knight,"Knight, Town",Town,2605,26
Knowlton,"Knowlton, Town",Town,3724,37
Knox,"Knox, Town",Town,5012,50
Kohler,"Kohler, Village",Village,5956,59
Komensky,"Komensky, Town",Town,2714,27
Koshkonong,"Koshkonong, Town",Town,2808,28
Kossuth,"Kossuth, Town",Town,3607,36
Kronenwetter,"Kronenwetter, Town",Town,3725,37
Kronewetter,"Kronewetter, Village",Village,3771,37
La Crosse,"La Crosse, City",City,3254,32
La Farge,"La Farge, Village",Village,6255,62
La Fayette,"La Fayette, Town",Town,4109,41
La Fayette,"La Fayette, Town",Town,6406,64
La Follette,"La Follette, Town",Town,707,7
La Grange,"La Grange, Town",Town,4110,41
La Grange,"La Grange, Town",Town,6407,64
La Pointe,"La Pointe, Town",Town,207,2
La Prairie,"La Prairie, Town",Town,5310,53
La Valle,"La Valle, Town",Town,5612,56
La Valle,"La Valle, Village",Village,5653,56
Lac La Belle,"Lac La Belle, Village",Village,2861,28
Lac La Belle,"Lac La Belle, Village",Village,6757,67
Ladysmith,"Ladysmith, City",City,5459,54
Lafayette,"Lafayette, Town",Town,917,9
Lake Delton,"Lake Delton, Village",Village,5664,56
Lake Geneva,"Lake Geneva, City",City,6459,64
Lake Hallie,"Lake Hallie, Village",Village,959,9
Lake Holcombe,"Lake Holcombe, Town",Town,915,9
Lake Mills,"Lake Mills, City",City,2857,28
Lake Mills,"Lake Mills, Town",Town,2809,28
Lake Nebagamon,"Lake Nebagamon, Village",Village,1651,16
Lake Tomahawk,"Lake Tomahawk, Town",Town,4305,43
Lake,"Lake, Town",Town,3808,38
Lake,"Lake, Town",Town,5013,50
Lakeland,"Lakeland, Town",Town,313,3
Lakeside,"Lakeside, Town",Town,1609,16
Laketown,"Laketown, Town",Town,4815,48
Lakewood,"Lakewood, Town",Town,4223,42
Lamartine,"Lamartine, Town",Town,2012,20
Lamont,"Lamont, Town",Town,3310,33
Lanark,"Lanark, Town",Town,4911,49
Lancaster,"Lancaster, City",City,2266,22
Land O'Lakes,"Land O'Lakes, Town",Town,6312,63
Langlade,"Langlade, Town",Town,3406,34
Lannon,"Lannon, Village",Village,6758,67
Laona,"Laona, Town",Town,2109,21
Larrabee,"Larrabee, Town",Town,6810,68
Lawrence,"Lawrence, Town",Town,512,5
Lawrence,"Lawrence, Town",Town,5411,54
Le Roy,"Le Roy, Town",Town,1414,14
Lebanon,"Lebanon, Town",Town,1413,14
Lebanon,"Lebanon, Town",Town,6811,68
Ledgeview,"Ledgeview, Town",Town,521,5
Leeds,"Leeds, Town",Town,1109,11
Lemonweir,"Lemonweir, Town",Town,2909,29
Lena,"Lena, Town",Town,4210,42
Lena,"Lena, Village",Village,4252,42
Lenroot,"Lenroot, Town",Town,5708,57
Leola,"Leola, Town",Town,107,1
Leon,"Leon, Town",Town,4111,41
Leon,"Leon, Town",Town,6907,69
Lessor,"Lessor, Town",Town,5814,58
Levis,"Levis, Town",Town,1014,10
Lewiston,"Lewiston, Town",Town,1110,11
Liberty Grove,"Liberty Grove, Town",Town,1509,15
Liberty,"Liberty, Town",Town,2214,22
Liberty,"Liberty, Town",Town,3608,36
Liberty,"Liberty, Town",Town,4414,44
Liberty,"Liberty, Town",Town,6214,62
Lima,"Lima, Town",Town,2215,22
Lima,"Lima, Town",Town,4604,46
Lima,"Lima, Town",Town,5311,53
Lima,"Lima, Town",Town,5904,59
Lime Ridge,"Lime Ridge, Village",Village,5654,56
Lincoln,"Lincoln, Town",Town,108,1
Lincoln,"Lincoln, Town",Town,415,4
Lincoln,"Lincoln, Town",Town,609,6
Lincoln,"Lincoln, Town",Town,708,7
Lincoln,"Lincoln, Town",Town,1806,18
Lincoln,"Lincoln, Town",Town,2110,21
Lincoln,"Lincoln, Town",Town,3105,31
Lincoln,"Lincoln, Town",Town,4112,41
Lincoln,"Lincoln, Town",Town,4816,48
Lincoln,"Lincoln, Town",Town,6110,61
Lincoln,"Lincoln, Town",Town,6306,63
Lincoln,"Lincoln, Town",Town,7110,71
Lind,"Lind, Town",Town,6812,68
Linden,"Linden, Town",Town,2507,25
Linden,"Linden, Village",Village,2557,25
Lindina,"Lindina, Town",Town,2910,29
Linn,"Linn, Town",Town,6408,64
Linwood,"Linwood, Town",Town,4912,49
Lisbon,"Lisbon, Town",Town,2911,29
Lisbon,"Lisbon, Town",Town,6705,67
Little Black,"Little Black, Town",Town,6013,60
Little Chute,"Little Chute, Village",Village,4456,44
Little Falls,"Little Falls, Town",Town,4113,41
Little Grant,"Little Grant, Town",Town,2216,22
Little Rice,"Little Rice, Town",Town,4306,43
Little River,"Little River, Town",Town,4211,42
Little Suamico,"Little Suamico, Town",Town,4212,42
Little Wolf,"Little Wolf, Town",Town,6813,68
Livingston,"Livingston, Village",Village,2256,22
Livingston,"Livingston, Village",Village,2558,25
Lodi,"Lodi, City",City,1154,11
Lodi,"Lodi, Town",Town,1111,11
Loganville,"Loganville, Village",Village,5655,56
Lohrville,"Lohrville, Village",Village,6952,69
Lomira,"Lomira, Town",Town,1415,14
Lomira,"Lomira, Village",Village,1455,14
Lone Rock,"Lone Rock, Village",Village,5252,52
Long Lake,"Long Lake, Town",Town,1907,19
Long Lake,"Long Lake, Town",Town,6513,65
Longwood,"Longwood, Town",Town,1016,10
Lorain,"Lorain, Town",Town,4817,48
Lowell,"Lowell, Town",Town,1416,14
Lowell,"Lowell, Village",Village,1456,14
Lowville,"Lowville, Town",Town,1112,11
Loyal,"Loyal, City",City,1055,10
Loyal,"Loyal, Town",Town,1015,10
Lublin,"Lublin, Village",Village,6052,60
Lucas,"Lucas, Town",Town,1707,17
Luck,"Luck, Town",Town,4818,48
Luck,"Luck, Village",Village,4857,48
Ludington,"Ludington, Town",Town,1807,18
Luxemburg,"Luxemburg, Town",Town,3106,31
Luxemburg,"Luxemburg, Village",Village,3152,31
Lyndon Station,"Lyndon Station, Village",Village,2953,29
Lyndon,"Lyndon, Town",Town,2912,29
Lyndon,"Lyndon, Town",Town,5905,59
Lynn,"Lynn, Town",Town,1017,10
Lynne,"Lynne, Town",Town,4307,43
Lynxville,"Lynxville, Village",Village,1256,12
Lyons,"Lyons, Town",Town,6409,64
Mackford,"Mackford, Town",Town,2405,24
Madge,"Madge, Town",Town,6514,65
Madison,"Madison, City",City,1373,13
Madison,"Madison, Town",Town,1316,13
Magnolia,"Magnolia, Town",Town,5312,53
Maiden Rock,"Maiden Rock, Town",Town,4708,47
Maiden Rock,"Maiden Rock, Village",Village,4754,47
Maine,"Maine, Town",Town,3727,37
Maine,"Maine, Town",Town,4415,44
Manawa,"Manawa, City",City,6855,68
Manchester,"Manchester, Town",Town,2406,24
Manchester,"Manchester, Town",Town,2715,27
Manitowish Waters,"Manitowish Waters, Town",Town,6311,63
Manitowoc Rapids,"Manitowoc Rapids, Town",Town,3610,36
Manitowoc,"Manitowoc, City",City,3654,36
Manitowoc,"Manitowoc, Town",Town,3609,36
Maple Bluff,"Maple Bluff, Village",Village,1361,13
Maple Creek,"Maple Creek, Town",Town,4416,44
Maple Grove,"Maple Grove, Town",Town,314,3
Maple Grove,"Maple Grove, Town",Town,3611,36
Maple Grove,"Maple Grove, Town",Town,5815,58
Maple Plain,"Maple Plain, Town",Town,315,3
Maple Valley,"Maple Valley, Town",Town,4213,42
Maple,"Maple, Town",Town,1610,16
Maplehurst,"Maplehurst, Town",Town,6015,60
Marathon City,"Marathon City, Village",Village,3758,37
Marathon,"Marathon, Town",Town,3728,37
Marcellon,"Marcellon, Town",Town,1113,11
Marengo,"Marengo, Town",Town,208,2
Maribel,"Maribel, Village",Village,3661,36
Marietta,"Marietta, Town",Town,1206,12
Marinette,"Marinette, City",City,3855,38
Marion,"Marion, City",City,5863,58
Marion,"Marion, City",City,6856,68
Marion,"Marion, Town",Town,2217,22
Marion,"Marion, Town",Town,2913,29
Marion,"Marion, Town",Town,6908,69
Markesan,"Markesan, City",City,2453,24
Marquette,"Marquette, Town",Town,2407,24
Marquette,"Marquette, Village",Village,2456,24
Marshall,"Marshall, Town",Town,5209,52
Marshall,"Marshall, Town",Town,5412,54
Marshall,"Marshall, Village",Village,1363,13
Marshfield,"Marshfield, City",City,3767,37
Marshfield,"Marshfield, City",City,7154,71
Marshfield,"Marshfield, Town",Town,2013,20
Marshfield,"Marshfield, Town",Town,7111,71
Martell,"Martell, Town",Town,4709,47
Mason,"Mason, Town",Town,416,4
Mason,"Mason, Village",Village,452,4
Matteson,"Matteson, Town",Town,6814,68
Mattoon,"Mattoon, Village",Village,5858,58
Mauston,"Mauston, City",City,2958,29
Maxville,"Maxville, Town",Town,610,6
Mayville,"Mayville, City",City,1464,14
Mayville,"Mayville, Town",Town,1018,10
Mazomanie,"Mazomanie, Town",Town,1317,13
Mazomanie,"Mazomanie, Village",Village,1364,13
Mc Farland,"Mc Farland, Village",Village,1362,13
Mc Kinley,"Mc Kinley, Town",Town,4819,48
Mc Kinley,"Mc Kinley, Town",Town,6014,60
Mc Millan,"Mc Millan, Town",Town,3726,37
Mead,"Mead, Town",Town,1019,10
Meadow Brook,"Meadow Brook, Town",Town,5709,57
Mecan,"Mecan, Town",Town,3905,39
Medary,"Medary, Town",Town,3212,32
Medford,"Medford, City",City,6054,60
Medford,"Medford, Town",Town,6016,60
Medina,"Medina, Town",Town,1318,13
Meeme,"Meeme, Town",Town,3612,36
Meenon,"Meenon, Town",Town,709,7
Mellen,"Mellen, City",City,253,2
Melrose,"Melrose, Town",Town,2716,27
Melrose,"Melrose, Village",Village,2753,27
Melvina,"Melvina, Village",Village,4153,41
Menasha,"Menasha, City",City,860,8
Menasha,"Menasha, City",City,7053,70
Menasha,"Menasha, Town",Town,7004,70
Menominee,"Menominee, Town",Town,7301,73
Menomonee Falls,"Menomonee Falls, Village",Village,6759,67
Menomonie,"Menomonie, City",City,1758,17
Menomonie,"Menomonie, Town",Town,1708,17
Mentor,"Mentor, Town",Town,1020,10
Mequon,"Mequon, City",City,4558,45
Mercer,"Mercer, Town",Town,2606,26
Merrill,"Merrill, City",City,3551,35
Merrill,"Merrill, Town",Town,3507,35
Merrillan,"Merrillan, Village",Village,2754,27
Merrimac,"Merrimac, Town",Town,5613,56
Merrimac,"Merrimac, Village",Village,5656,56
Merton,"Merton, Town",Town,6707,67
Merton,"Merton, Village",Village,6760,67
Meteor,"Meteor, Town",Town,5710,57
Metomen,"Metomen, Town",Town,2014,20
Middle Inlet,"Middle Inlet, Town",Town,3809,38
Middleton,"Middleton, City",City,1365,13
Middleton,"Middleton, Town",Town,1319,13
Mifflin,"Mifflin, Town",Town,2508,25
Milford,"Milford, Town",Town,2810,28
Milladore,"Milladore, Town",Town,7112,71
Milladore,"Milladore, Village",Village,4962,49
Milladore,"Milladore, Village",Village,7158,71
Millston,"Millston, Town",Town,2717,27
Milltown,"Milltown, Town",Town,4820,48
Milltown,"Milltown, Village",Village,4858,48
Millville,"Millville, Town",Town,2218,22
Milton,"Milton, City",City,5353,53
Milton,"Milton, Town",Town,611,6
Milton,"Milton, Town",Town,5313,53
Milwaukee,"Milwaukee, City",City,4057,40
Milwaukee,"Milwaukee, City",City,6658,66
Milwaukee,"Milwaukee, City",City,6777,67
Mineral Point,"Mineral Point, City",City,2562,25
Mineral Point,"Mineral Point, Town",Town,2509,25
Minocqua,"Minocqua, Town",Town,4308,43
Minong,"Minong, Town",Town,6515,65
Minong,"Minong, Village",Village,6552,65
Mishicot,"Mishicot, Town",Town,3613,36
Mishicot,"Mishicot, Village",Village,3656,36
Mitchell,"Mitchell, Town",Town,5906,59
Modena,"Modena, Town",Town,612,6
Molitor,"Molitor, Town",Town,6017,60
Mondovi,"Mondovi, City",City,655,6
Mondovi,"Mondovi, Town",Town,613,6
Monico,"Monico, Town",Town,4309,43
Monona,"Monona, City",City,1375,13
Monroe,"Monroe, City",City,2357,23
Monroe,"Monroe, Town",Town,109,1
Monroe,"Monroe, Town",Town,2310,23
Montana,"Montana, Town",Town,614,6
Montello,"Montello, City",City,3952,39
Montello,"Montello, Town",Town,3906,39
Montfort,"Montfort, Village",Village,2257,22
Montfort,"Montfort, Village",Village,2564,25
Monticello,"Monticello, Town",Town,3311,33
Monticello,"Monticello, Village",Village,2354,23
Montpelier,"Montpelier, Town",Town,3107,31
Montreal,"Montreal, City",City,2652,26
Montrose,"Montrose, Town",Town,1320,13
Morgan,"Morgan, Town",Town,4214,42
Morris,"Morris, Town",Town,5816,58
Morrison,"Morrison, Town",Town,513,5
Morse,"Morse, Town",Town,209,2
Moscow,"Moscow, Town",Town,2510,25
Mosel,"Mosel, Town",Town,5907,59
Mosinee,"Mosinee, City",City,3759,37
Mosinee,"Mosinee, Town",Town,3729,37
Moundville,"Moundville, Town",Town,3907,39
Mount Calvary,"Mount Calvary, Village",Village,2062,20
Mount Hope,"Mount Hope, Town",Town,2219,22
Mount Hope,"Mount Hope, Village",Village,2258,22
Mount Horeb,"Mount Horeb, Village",Village,1366,13
Mount Ida,"Mount Ida, Town",Town,2220,22
Mount Morris,"Mount Morris, Town",Town,6909,69
Mount Pleasant,"Mount Pleasant, Town",Town,2311,23
Mount Pleasant,"Mount Pleasant, Town",Town,5104,51
Mount Pleasant,"Mount Pleasant, Village",Village,5160,51
Mount Sterling,"Mount Sterling, Village",Village,1261,12
Mountain,"Mountain, Town",Town,4224,42
Mukwa,"Mukwa, Town",Town,6815,68
Mukwonago,"Mukwonago, Town",Town,6708,67
Mukwonago,"Mukwonago, Village",Village,6463,64
Mukwonago,"Mukwonago, Village",Village,6761,67
Murry,"Murry, Town",Town,5413,54
Muscoda,"Muscoda, Town",Town,2221,22
Muscoda,"Muscoda, Village",Village,2259,22
Muscoda,"Muscoda, Village",Village,2565,25
Muskego,"Muskego, City",City,6774,67
Namekagon,"Namekagon, Town",Town,417,4
Naples,"Naples, Town",Town,615,6
Nasewaupee,"Nasewaupee, Town",Town,1510,15
Nashotah,"Nashotah, Village",Village,6770,67
Nashville,"Nashville, Town",Town,2111,21
Navarino,"Navarino, Town",Town,5817,58
Necedah,"Necedah, Town",Town,2914,29
Necedah,"Necedah, Village",Village,2954,29
Neenah,"Neenah, City",City,7054,70
Neenah,"Neenah, Town",Town,7005,70
Neillsville,"Neillsville, City",City,1061,10
Nekimi,"Nekimi, Town",Town,7006,70
Nekoosa,"Nekoosa, City",City,7155,71
Nelson,"Nelson, Town",Town,616,6
Nelson,"Nelson, Village",Village,656,6
Nelsonville,"Nelsonville, Village",Village,4955,49
Neosho,"Neosho, Village",Village,1457,14
Nepeuskum,"Nepeuskum, Town",Town,7007,70
Neshkoro,"Neshkoro, Town",Town,3908,39
Neshkoro,"Neshkoro, Village",Village,3953,39
Neva,"Neva, Town",Town,3407,34
New Auburn,"New Auburn, Village",Village,361,3
New Auburn,"New Auburn, Village",Village,954,9
New Berlin,"New Berlin, City",City,6771,67
New Chester,"New Chester, Town",Town,110,1
New Denmark,"New Denmark, Town",Town,514,5
New Diggings,"New Diggings, Town",Town,3312,33
New Glarus,"New Glarus, Town",Town,2312,23
New Glarus,"New Glarus, Village",Village,2355,23
New Haven,"New Haven, Town",Town,111,1
New Haven,"New Haven, Town",Town,1709,17
New Holstein,"New Holstein, City",City,856,8
New Holstein,"New Holstein, Town",Town,806,8
New Hope,"New Hope, Town",Town,4913,49
New Lisbon,"New Lisbon, City",City,2959,29
New London,"New London, City",City,4460,44
New London,"New London, City",City,6862,68
New Lyme,"New Lyme, Town",Town,4114,41
New Richmond,"New Richmond, City",City,5561,55
Newark,"Newark, Town",Town,5314,53
Newbold,"Newbold, Town",Town,4310,43
Newburg,"Newburg, Village",Village,4560,45
Newburg,"Newburg, Village",Village,6659,66
Newport,"Newport, Town",Town,1114,11
Newton,"Newton, Town",Town,3614,36
Newton,"Newton, Town",Town,3909,39
Niagara,"Niagara, City",City,3858,38
Niagara,"Niagara, Town",Town,3810,38
Niagara,"Niagara, Village",Village,3852,38
Nichols,"Nichols, Village",Village,4462,44
