Municipality,Municipality_CTV,MuniTownype,MuniCode,CntyCode
Belleville,"Belleville, Village",Village,2358,23
Bellevue,"Bellevue, Town",Town,503,5
Bellevue,"Bellevue, Village",Village,560,5
Belmont,"Belmont, Town",Town,3302,33
Belmont,"Belmont, Town",Town,4904,49
Belmont,"Belmont, Village",Village,3352,33
Beloit,"Beloit, City",City,5355,53
Beloit,"Beloit, Town",Town,5302,53
Belvidere,"Belvidere, Town",Town,602,6
Bennett,"Bennett, Town",Town,1602,16
Benton,"Benton, Town",Town,3303,33
Benton,"Benton, Village",Village,3353,33
Bergen,"Bergen, Town",Town,3701,37
Bergen,"Bergen, Town",Town,6201,62
Berlin,"Berlin, City",City,2454,24
Berlin,"Berlin, City",City,6957,69
Berlin,"Berlin, Town",Town,2401,24
Berlin,"Berlin, Town",Town,3702,37
Bern,"Bern, Town",Town,3703,37
Berry,"Berry, Town",Town,1302,13
Bevent,"Bevent, Town",Town,3704,37
Big Bend,"Big Bend, Town",Town,5402,54
Big Bend,"Big Bend, Village",Village,6751,67
Big Falls,"Big Falls, Town",Town,5403,54
Big Falls,"Big Falls, Village",Village,6851,68
Big Flats,"Big Flats, Town",Town,102,1
Birch Creek,"Birch Creek, Town",Town,904,9
Birch,"Birch, Town",Town,3501,35
Birchwood,"Birchwood, Town",Town,6505,65
Birchwood,"Birchwood, Village",Village,6551,65
Birnamwood,"Birnamwood, Town",Town,5806,58
Birnamwood,"Birnamwood, Village",Village,3768,37
Birnamwood,"Birnamwood, Village",Village,5852,58
Biron,"Biron, Village",Village,7152,71
Black Brook,"Black Brook, Town",Town,4805,48
Black Creek,"Black Creek, Town",Town,4401,44
Black Creek,"Black Creek, Village",Village,4452,44
Black Earth,"Black Earth, Town",Town,1303,13
Black Earth,"Black Earth, Village",Village,1352,13
Black River Falls,"Black River Falls, City",City,2756,27
Black Wolf,"Black Wolf, Town",Town,7002,70
Blackwell,"Blackwell, Town",Town,2104,21
Blaine,"Blaine, Town",Town,702,7
Blair,"Blair, City",City,6151,61
Blanchard,"Blanchard, Town",Town,3304,33
Blanchardville,"Blanchardville, Village",Village,2563,25
Blanchardville,"Blanchardville, Village",Village,3354,33
Bloom,"Bloom, Town",Town,5202,52
Bloomer,"Bloomer, City",City,955,9
Bloomer,"Bloomer, Town",Town,905,9
Bloomfield,"Bloomfield, Town",Town,6401,64
Bloomfield,"Bloomfield, Town",Town,6902,69
Bloomfield,"Bloomfield, Village",Village,6464,64
Blooming Grove,"Blooming Grove, Town",Town,1304,13
Bloomington,"Bloomington, Town",Town,2202,22
Bloomington,"Bloomington, Village",Village,2252,22
Blue Mounds,"Blue Mounds, Town",Town,1305,13
Blue Mounds,"Blue Mounds, Village",Village,1353,13
Blue River,"Blue River, Village",Village,2253,22
Boaz,"Boaz, Village",Village,5256,52
Bonduel,"Bonduel, Village",Village,5853,58
Bone Lake,"Bone Lake, Town",Town,4806,48
Boscobel,"Boscobel, City",City,2263,22
Boscobel,"Boscobel, Town",Town,2203,22
Boulder Junction,"Boulder Junction, Town",Town,6302,63
Bovina,"Bovina, Town",Town,4402,44
Bowler,"Bowler, Village",Village,5854,58
Boyceville,"Boyceville, Village",Village,1751,17
Boyd,"Boyd, Village",Village,951,9
Bradford,"Bradford, Town",Town,5303,53
Bradley,"Bradley, Town",Town,3502,35
Brandon,"Brandon, Village",Village,2051,20
Brazeau,"Brazeau, Town",Town,4204,42
Breed,"Breed, Town",Town,4205,42
Bridge Creek,"Bridge Creek, Town",Town,1801,18
Bridgeport,"Bridgeport, Town",Town,1201,12
Brigham,"Brigham, Town",Town,2502,25
Brighton,"Brighton, Town",Town,3001,30
Brighton,"Brighton, Town",Town,3705,37
Brillion,"Brillion, City",City,851,8
Brillion,"Brillion, Town",Town,801,8
Bristol,"Bristol, Town",Town,1306,13
Bristol,"Bristol, Town",Town,3002,30
Bristol,"Bristol, Village",Village,3057,30
Brockway,"Brockway, Town",Town,2704,27
Brodhead,"Brodhead, City",City,2356,23
Brodhead,"Brodhead, City",City,5359,53
Brokaw,"Brokaw, Village",Village,3753,37
Brookfield,"Brookfield, City",City,6769,67
Brookfield,"Brookfield, Town",Town,6701,67
Brooklyn,"Brooklyn, Town",Town,2303,23
Brooklyn,"Brooklyn, Town",Town,2402,24
Brooklyn,"Brooklyn, Town",Town,6506,65
Brooklyn,"Brooklyn, Village",Village,1354,13
Brooklyn,"Brooklyn, Village",Village,2352,23
Brothertown,"Brothertown, Town",Town,802,8
Brown Deer,"Brown Deer, Village",Village,4066,40
Browning,"Browning, Town",Town,6002,60
Brownsville,"Brownsville, Village",Village,1467,14
Browntown,"Browntown, Village",Village,2353,23
Bruce,"Bruce, Village",Village,5451,54
Brule,"Brule, Town",Town,1603,16
Brunswick,"Brunswick, Town",Town,1802,18
Brussels,"Brussels, Town",Town,1502,15
Buchanan,"Buchanan, Town",Town,4403,44
Buena Vista,"Buena Vista, Town",Town,4905,49
Buena Vista,"Buena Vista, Town",Town,5203,52
Buffalo City,"Buffalo City, City",City,653,6
Buffalo,"Buffalo, Town",Town,603,6
Buffalo,"Buffalo, Town",Town,3901,39
Burke,"Burke, Town",Town,1307,13
Burlington,"Burlington, City",City,5155,51
Burlington,"Burlington, City",City,6462,64
Burlington,"Burlington, Town",Town,5101,51
Burnett,"Burnett, Town",Town,1403,14
Burns,"Burns, Town",Town,3203,32
Burnside,"Burnside, Town",Town,6103,61
Butler,"Butler, Town",Town,1002,10
Butler,"Butler, Village",Village,6752,67
Butternut,"Butternut, Village",Village,251,2
Byron,"Byron, Town",Town,2004,20
Byron,"Byron, Town",Town,4103,41
Cable,"Cable, Town",Town,406,4
Cable,"Cable, Village",Village,451,4
Cadiz,"Cadiz, Town",Town,2304,23
Cadott,"Cadott, Village",Village,952,9
Cady,"Cady, Town",Town,5502,55
Calamus,"Calamus, Town",Town,1404,14
Caledonia,"Caledonia, Town",Town,1102,11
Caledonia,"Caledonia, Town",Town,5102,51
Caledonia,"Caledonia, Town",Town,6104,61
Caledonia,"Caledonia, Town",Town,6802,68
Caledonia,"Caledonia, Village",Village,5161,51
Calumet,"Calumet, Town",Town,2005,20
Cambria,"Cambria, Village",Village,1151,11
Cambridge,"Cambridge, Village",Village,1355,13
Cambridge,"Cambridge, Village",Village,2860,28
Cameron,"Cameron, Town",Town,7103,71
Cameron,"Cameron, Village",Village,351,3
Camp Douglas,"Camp Douglas, Village",Village,2951,29
Campbell,"Campbell, Town",Town,3204,32
Campbellsport,"Campbellsport, Village",Village,2052,20
Canton,"Canton, Town",Town,604,6
Carey,"Carey, Town",Town,2602,26
Carlton,"Carlton, Town",Town,3102,31
Carson,"Carson, Town",Town,4906,49
Cary,"Cary, Town",Town,7104,71
Cascade,"Cascade, Village",Village,5952,59
Casco,"Casco, Town",Town,3103,31
Casco,"Casco, Village",Village,3151,31
Casey,"Casey, Town",Town,6507,65
Cashton,"Cashton, Village",Village,4151,41
Cassel,"Cassel, Town",Town,3706,37
Cassian,"Cassian, Town",Town,4301,43
Cassville,"Cassville, Town",Town,2204,22
Cassville,"Cassville, Village",Village,2254,22
Castle Rock,"Castle Rock, Town",Town,2205,22
Caswell,"Caswell, Town",Town,2105,21
Catawba,"Catawba, Town",Town,5001,50
Catawba,"Catawba, Village",Village,5051,50
Cato,"Cato, Town",Town,3601,36
Cazenovia,"Cazenovia, Village",Village,5251,52
Cazenovia,"Cazenovia, Village",Village,5667,56
Cecil,"Cecil, Village",Village,5855,58
Cedar Grove,"Cedar Grove, Village",Village,5953,59
Cedar Lake,"Cedar Lake, Town",Town,305,3
Cedar Rapids,"Cedar Rapids, Town",Town,5404,54
Cedarburg,"Cedarburg, City",City,4556,45
Cedarburg,"Cedarburg, Town",Town,4502,45
Center,"Center, Town",Town,4404,44
Center,"Center, Town",Town,5304,53
Centerville,"Centerville, Town",Town,3602,36
Centuria,"Centuria, Village",Village,4852,48
Charlestown,"Charlestown, Town",Town,803,8
Chase,"Chase, Town",Town,4206,42
Chaseburg,"Chaseburg, Village",Village,6251,62
Chelsea,"Chelsea, Town",Town,6003,60
Chenequa,"Chenequa, Village",Village,6753,67
Chester,"Chester, Town",Town,1405,14
Chetek,"Chetek, City",City,357,3
Chetek,"Chetek, Town",Town,306,3
Chicog,"Chicog, Town",Town,6508,65
Chilton,"Chilton, City",City,854,8
Chilton,"Chilton, Town",Town,804,8
Chimney Rock,"Chimney Rock, Town",Town,6105,61
Chippewa Falls,"Chippewa Falls, City",City,956,9
Chippewa,"Chippewa, Town",Town,203,2
Christiana,"Christiana, Town",Town,1308,13
Christiana,"Christiana, Town",Town,6202,62
Cicero,"Cicero, Town",Town,4405,44
City Point,"City Point, Town",Town,2705,27
Clam Falls,"Clam Falls, Town",Town,4807,48
Clarno,"Clarno, Town",Town,2305,23
Clay Banks,"Clay Banks, Town",Town,1503,15
Clayton,"Clayton, Town",Town,1202,12
Clayton,"Clayton, Town",Town,4808,48
Clayton,"Clayton, Town",Town,7003,70
Clayton,"Clayton, Village",Village,4853,48
Clear Creek,"Clear Creek, Town",Town,1803,18
Clear Lake,"Clear Lake, Town",Town,4809,48
Clear Lake,"Clear Lake, Village",Village,4854,48
Clearfield,"Clearfield, Town",Town,2902,29
Cleveland,"Cleveland, Town",Town,906,9
Cleveland,"Cleveland, Town",Town,2706,27
Cleveland,"Cleveland, Town",Town,3707,37
Cleveland,"Cleveland, Town",Town,6004,60
Cleveland,"Cleveland, Village",Village,3659,36
Clifton,"Clifton, Town",Town,2206,22
Clifton,"Clifton, Town",Town,4104,41
Clifton,"Clifton, Town",Town,4701,47
Clinton,"Clinton, Town",Town,307,3
Clinton,"Clinton, Town",Town,5305,53
Clinton,"Clinton, Town",Town,6203,62
Clinton,"Clinton, Village",Village,5351,53
Clintonville,"Clintonville, City",City,6861,68
Clover,"Clover, Town",Town,407,4
Cloverland,"Cloverland, Town",Town,1604,16
Cloverland,"Cloverland, Town",Town,6303,63
Clyde,"Clyde, Town",Town,2503,25
Clyman,"Clyman, Town",Town,1406,14
Clyman,"Clyman, Village",Village,1451,14
Cobb,"Cobb, Village",Village,2554,25
Cochrane,"Cochrane, Village",Village,651,6
Colburn,"Colburn, Town",Town,103,1
Colburn,"Colburn, Town",Town,907,9
Colby,"Colby, City",City,1059,10
Colby,"Colby, City",City,3765,37
Colby,"Colby, Town",Town,1003,10
Cold Spring,"Cold Spring, Town",Town,2802,28
Coleman,"Coleman, Village",Village,3851,38
Colfax,"Colfax, Town",Town,1701,17
Colfax,"Colfax, Village",Village,1752,17
Coloma,"Coloma, Town",Town,6903,69
Coloma,"Coloma, Village",Village,6958,69
Columbus,"Columbus, City",City,1160,11
Columbus,"Columbus, City",City,1469,14
Columbus,"Columbus, Town",Town,1103,11
Combined Locks,"Combined Locks, Village",Village,4453,44
Commonwealth,"Commonwealth, Town",Town,1902,19
Concord,"Concord, Town",Town,2803,28
Conover,"Conover, Town",Town,6304,63
Conrath,"Conrath, Village",Village,5452,54
Cooks Valley,"Cooks Valley, Town",Town,908,9
Coon Valley,"Coon Valley, Village",Village,6252,62
Coon,"Coon, Town",Town,6204,62
Cooperstown,"Cooperstown, Town",Town,3603,36
Cornell,"Cornell, City",City,953,9
Corning,"Corning, Town",Town,3503,35
Cottage Grove,"Cottage Grove, Town",Town,1309,13
Cottage Grove,"Cottage Grove, Village",Village,1356,13
Couderay,"Couderay, Town",Town,5702,57
Couderay,"Couderay, Village",Village,5751,57
Courtland,"Courtland, Town",Town,1104,11
Crandon,"Crandon, City",City,2151,21
Crandon,"Crandon, Town",Town,2106,21
Cranmoor,"Cranmoor, Town",Town,7105,71
Crescent,"Crescent, Town",Town,4302,43
Crivitz,"Crivitz, Village",Village,3857,38
Cross Plains,"Cross Plains, Town",Town,1310,13
Cross Plains,"Cross Plains, Village",Village,1357,13
Cross,"Cross, Town",Town,605,6
Crystal Lake,"Crystal Lake, Town",Town,308,3
Crystal Lake,"Crystal Lake, Town",Town,3902,39
Crystal,"Crystal, Town",Town,6509,65
Cuba City,"Cuba City, City",City,2264,22
Cuba City,"Cuba City, City",City,3359,33
Cudahy,"Cudahy, City",City,4056,40
Cumberland,"Cumberland, City",City,358,3
Cumberland,"Cumberland, Town",Town,309,3
Curran,"Curran, Town",Town,2707,27
Curtiss,"Curtiss, Village",Village,1052,10
Cutler,"Cutler, Town",Town,2903,29
Cylon,"Cylon, Town",Town,5503,55
Dairyland,"Dairyland, Town",Town,1605,16
Dakota,"Dakota, Town",Town,6904,69
Dale,"Dale, Town",Town,4406,44
Dallas,"Dallas, Town",Town,310,3
Dallas,"Dallas, Village",Village,352,3
Dane,"Dane, Town",Town,1311,13
Dane,"Dane, Village",Village,1358,13
Daniels,"Daniels, Town",Town,703,7
Darien,"Darien, Town",Town,6402,64
Darien,"Darien, Village",Village,6461,64
Darlington,"Darlington, City",City,3357,33
Darlington,"Darlington, Town",Town,3305,33
Day,"Day, Town",Town,3708,37
Dayton,"Dayton, Town",Town,5204,52
Dayton,"Dayton, Town",Town,6803,68
De Forest,"De Forest, Village",Village,1360,13
De Pere,"De Pere, City",City,554,5
De Pere,"De Pere, Town",Town,504,5
De Soto,"De Soto, Village",Village,1252,12
De Soto,"De Soto, Village",Village,6253,62
Decatur,"Decatur, Town",Town,2306,23
Deer Creek,"Deer Creek, Town",Town,4407,44
Deer Creek,"Deer Creek, Town",Town,6005,60
Deer Park,"Deer Park, Village",Village,5552,55
Deerfield,"Deerfield, Town",Town,1312,13
Deerfield,"Deerfield, Town",Town,6905,69
Deerfield,"Deerfield, Village",Village,1359,13
Dekorra,"Dekorra, Town",Town,1105,11
Delafield,"Delafield, City",City,6772,67
Delafield,"Delafield, Town",Town,6702,67
Delavan,"Delavan, City",City,6457,64
Delavan,"Delavan, Town",Town,6403,64
Dell Prairie,"Dell Prairie, Town",Town,104,1
Dellona,"Dellona, Town",Town,5603,56
Delmar,"Delmar, Town",Town,909,9
Delta,"Delta, Town",Town,408,4
Delton,"Delton, Town",Town,5604,56
Denmark,"Denmark, Village",Village,551,5
Dewey,"Dewey, Town",Town,704,7
Dewey,"Dewey, Town",Town,4907,49
Dewey,"Dewey, Town",Town,5405,54
Dewhurst,"Dewhurst, Town",Town,1004,10
Dexter,"Dexter, Town",Town,7106,71
Diamond Bluff,"Diamond Bluff, Town",Town,4702,47
Dickeyville,"Dickeyville, Village",Village,2269,22
Dodge,"Dodge, Town",Town,6106,61
Dodgeville,"Dodgeville, City",City,2561,25
Dodgeville,"Dodgeville, Town",Town,2504,25
Dorchester,"Dorchester, Village",Village,1053,10
Dorchester,"Dorchester, Village",Village,3769,37
Doty,"Doty, Town",Town,4207,42
Douglas,"Douglas, Town",Town,3903,39
Dousman,"Dousman, Village",Village,6754,67
Dover,"Dover, Town",Town,606,6
Dover,"Dover, Town",Town,5103,51
Dovre,"Dovre, Town",Town,311,3
Downing,"Downing, Village",Village,1753,17
Doyle,"Doyle, Town",Town,312,3
Doylestown,"Doylestown, Village",Village,1152,11
Drammen,"Drammen, Town",Town,1804,18
Draper,"Draper, Town",Town,5703,57
Dresser,"Dresser, Village",Village,4855,48
Drummond,"Drummond, Town",Town,409,4
Dunbar,"Dunbar, Town",Town,3805,38
Dunkirk,"Dunkirk, Town",Town,1313,13
Dunn,"Dunn, Town",Town,1314,13
Dunn,"Dunn, Town",Town,1702,17
Dupont,"Dupont, Town",Town,6804,68
Durand,"Durand, City",City,4653,46
Durand,"Durand, Town",Town,4602,46
Eagle Point,"Eagle Point, Town",Town,910,9
Eagle River,"Eagle River, City",City,6351,63
Eagle,"Eagle, Town",Town,5205,52
Eagle,"Eagle, Town",Town,6703,67
Eagle,"Eagle, Village",Village,6755,67
East Troy,"East Troy, Town",Town,6404,64
East Troy,"East Troy, Village",Village,6451,64
East Troy,"East Troy, Village",Village,6775,67
Eastman,"Eastman, Town",Town,1203,12
Eastman,"Eastman, Village",Village,1253,12
Easton,"Easton, Town",Town,105,1
Easton,"Easton, Town",Town,3709,37
Eaton,"Eaton, Town",Town,505,5
Eaton,"Eaton, Town",Town,1005,10
Eaton,"Eaton, Town",Town,3604,36
Eau Claire,"Eau Claire, City",City,958,9
Eau Claire,"Eau Claire, City",City,1855,18
Eau Galle,"Eau Galle, Town",Town,1703,17
Eau Galle,"Eau Galle, Town",Town,5504,55
Eau Pleine,"Eau Pleine, Town",Town,3710,37
Eau Pleine,"Eau Pleine, Town",Town,4908,49
Eden,"Eden, Town",Town,2006,20
Eden,"Eden, Town",Town,2505,25
Eden,"Eden, Village",Village,2053,20
Edgar,"Edgar, Village",Village,3754,37
Edgerton,"Edgerton, City",City,1377,13
Edgerton,"Edgerton, City",City,5356,53
Edgewater,"Edgewater, Town",Town,5704,57
Edson,"Edson, Town",Town,911,9
Egg Harbor,"Egg Harbor, Town",Town,1504,15
Egg Harbor,"Egg Harbor, Village",Village,1555,15
Eileen,"Eileen, Town",Town,410,4
Eisenstein,"Eisenstein, Town",Town,5002,50
El Paso,"El Paso, Town",Town,4704,47
Eland,"Eland, Village",Village,5856,58
Elba,"Elba, Town",Town,1407,14
Elcho,"Elcho, Town",Town,3404,34
Elderon,"Elderon, Town",Town,3711,37
Elderon,"Elderon, Village",Village,3755,37
Eldorado,"Eldorado, Town",Town,2007,20
Eleva,"Eleva, Village",Village,6152,61
Elk Grove,"Elk Grove, Town",Town,3306,33
Elk Mound,"Elk Mound, Town",Town,1704,17
Elk Mound,"Elk Mound, Village",Village,1754,17
Elk,"Elk, Town",Town,5003,50
Elkhart Lake,"Elkhart Lake, Village",Village,5954,59
Elkhorn,"Elkhorn, City",City,6458,64
Ellenboro,"Ellenboro, Town",Town,2207,22
Ellington,"Ellington, Town",Town,4408,44
Ellsworth,"Ellsworth, Town",Town,4703,47
Ellsworth,"Ellsworth, Village",Village,4752,47
Elm Grove,"Elm Grove, Village",Village,6768,67
Elmwood Park,"Elmwood Park, Village",Village,5159,51
Elmwood,"Elmwood, Village",Village,4753,47
Elroy,"Elroy, City",City,2957,29
Embarrass,"Embarrass, Village",Village,6852,68
Emerald,"Emerald, Town",Town,5505,55
Emery,"Emery, Town",Town,5004,50
Emmet,"Emmet, Town",Town,1408,14
Emmett,"Emmett, Town",Town,3712,37
Empire,"Empire, Town",Town,2008,20
Endeavor,"Endeavor, Village",Village,3955,39
Enterprise,"Enterprise, Town",Town,4303,43
Ephraim,"Ephraim, Village",Village,1551,15
Erin Prairie,"Erin Prairie, Town",Town,5506,55
Erin,"Erin, Town",Town,6603,66
Estella,"Estella, Town",Town,912,9
Ettrick,"Ettrick, Town",Town,6107,61
Ettrick,"Ettrick, Village",Village,6159,61
Eureka,"Eureka, Town",Town,4810,48
Evansville,"Evansville, City",City,5357,53
Evergreen,"Evergreen, Town",Town,3405,34
Evergreen,"Evergreen, Town",Town,6510,65
Excelsior,"Excelsior, Town",Town,5605,56
Exeland,"Exeland, Village",Village,5752,57
Exeter,"Exeter, Town",Town,2307,23
Fairbanks,"Fairbanks, Town",Town,5807,58
Fairchild,"Fairchild, Town",Town,1805,18
Fairchild,"Fairchild, Village",Village,1851,18
Fairfield,"Fairfield, Town",Town,5606,56
Fairwater,"Fairwater, Village",Village,2054,20
Fall Creek,"Fall Creek, Village",Village,1852,18
Fall River,"Fall River, Village",Village,1153,11
Farmington,"Farmington, Town",Town,2804,28
Farmington,"Farmington, Town",Town,3205,32
Farmington,"Farmington, Town",Town,4811,48
Farmington,"Farmington, Town",Town,6604,66
Farmington,"Farmington, Town",Town,6805,68
Fayette,"Fayette, Town",Town,3307,33
Fence,"Fence, Town",Town,1903,19
Fennimore,"Fennimore, City",City,2265,22
Fennimore,"Fennimore, Town",Town,2208,22
Fenwood,"Fenwood, Village",Village,3756,37
Fern,"Fern, Town",Town,1904,19
Ferryville,"Ferryville, Village",Village,1254,12
Fifield,"Fifield, Town",Town,5005,50
Finley,"Finley, Town",Town,2904,29
Fitchburg,"Fitchburg, City",City,1376,13
Flambeau,"Flambeau, Town",Town,5006,50
Flambeau,"Flambeau, Town",Town,5406,54
Flambeau,"Flambeau, Town",Town,6305,63
Florence,"Florence, Town",Town,1905,19
Fond Du Lac,"Fond Du Lac, City",City,2059,20
Fond Du Lac,"Fond Du Lac, Town",Town,2009,20
Fontana,"Fontana, Village",Village,6452,64
Footville,"Footville, Village",Village,5352,53
Ford,"Ford, Town",Town,6006,60
Forest,"Forest, Town",Town,2010,20
Forest,"Forest, Town",Town,5206,52
Forest,"Forest, Town",Town,5507,55
Forest,"Forest, Town",Town,6205,62
Forestville,"Forestville, Town",Town,1505,15
Forestville,"Forestville, Village",Village,1554,15
Fort Atkinson,"Fort Atkinson, City",City,2855,28
Fort Winnebago,"Fort Winnebago, Town",Town,1106,11
Foster,"Foster, Town",Town,1006,10
Fountain City,"Fountain City, City",City,654,6
Fountain Prairie,"Fountain Prairie, Town",Town,1107,11
Fountain,"Fountain, Town",Town,2905,29
Fox Lake,"Fox Lake, City",City,1452,14
Fox Lake,"Fox Lake, Town",Town,1409,14
Fox Point,"Fox Point, Village",Village,4051,40
Francis Creek,"Francis Creek, Village",Village,3660,36
Frankfort,"Frankfort, Town",Town,3713,37
Frankfort,"Frankfort, Town",Town,4603,46
Franklin,"Franklin, City",City,4068,40
Franklin,"Franklin, Town",Town,2708,27
Franklin,"Franklin, Town",Town,3104,31
Franklin,"Franklin, Town",Town,3605,36
Franklin,"Franklin, Town",Town,5607,56
